uav_id,role,role_name,grid_x,grid_y,x,y,ideal_grid_x,ideal_grid_y,ideal_x,ideal_y,is_ideal_cell,distance_to_ground_station,distance_to_ideal,nearest_ferry_distance,ideal_score,network_condition,goodput,rtt,buffer_status,packet_drop_probability
0,0,search,0,0,0.05,0.05,1,1,0.15,0.15,0,0.6363961030678927,0.1414213562373095,0.5656854249492381,0.2530791553678211,0.5,0.36511728206264793,0.7469208446321789,0.8101906334741342,0.7469208446321789
0,0,search,0,1,0.05,0.15,1,1,0.15,0.15,0,0.570087712549569,0.09999999999999999,0.5,0.34912106607906584,0.5,0.446752906167206,0.6508789339209342,0.7381592004407006,0.6508789339209342
0,0,search,0,2,0.05,0.25,1,1,0.15,0.15,0,0.51478150704935,0.1414213562373095,0.447213595499958,0.26808205075291597,0.5,0.37786974313997856,0.731917949247084,0.798938461935313,0.731917949247084
0,0,search,0,3,0.05,0.35,1,1,0.15,0.15,0,0.47434164902525694,0.22360679774997894,0.4123105625617661,0.16579248468165048,0.0,0.29092361197940286,0.8342075153183495,0.8756556364887621,0.8342075153183495
0,0,search,0,4,0.05,0.45,1,1,0.15,0.15,0,0.45276925690687087,0.31622776601683794,0.4,0.10794324747484937,0.0,0.24175176035362195,0.8920567525251506,0.919042564393863,0.8920567525251506
0,0,search,0,5,0.05,0.55,1,1,0.15,0.15,0,0.45276925690687087,0.41231056256176607,0.4,0.07802938836368223,0.0,0.21632498010912987,0.9219706116363178,0.9414779587272384,0.9219706116363178
0,0,search,0,6,0.05,0.65,1,1,0.15,0.15,0,0.47434164902525694,0.5099019513592785,0.4123105625617661,0.06063091140988745,0.0,0.20153627469840432,0.9393690885901126,0.9545268164425844,0.9393690885901126
0,0,search,0,7,0.05,0.75,1,1,0.15,0.15,0,0.51478150704935,0.6082762530298219,0.4472135954999579,0.04766029159544517,0.0,0.19051124785612839,0.9523397084045548,0.9642547813034161,0.9523397084045548
0,0,search,0,8,0.05,0.85,1,1,0.15,0.15,0,0.570087712549569,0.7071067811865475,0.5,0.037036233690663105,0.0,0.18148079863706362,0.9629637663093369,0.9722228247320027,0.9629637663093369
0,0,search,0,9,0.05,0.95,1,1,0.15,0.15,0,0.6363961030678927,0.8062257748298549,0.565685424949238,0.028372224529312588,0.0,0.1741163908499157,0.9716277754706875,0.9787208316030156,0.9716277754706875
0,0,search,1,0,0.15,0.05,1,1,0.15,0.15,0,0.570087712549569,0.09999999999999999,0.5,0.34912106607906584,0.5,0.446752906167206,0.6508789339209342,0.7381592004407006,0.6508789339209342
0,0,search,1,1,0.15,0.15,1,1,0.15,0.15,1,0.49497474683058323,0.0,0.42426406871192857,1.0,1.0,1.0,0.0,0.25,0.0
0,0,search,1,2,0.15,0.25,1,1,0.15,0.15,0,0.4301162633521313,0.1,0.36055512754639896,0.3730477389692012,0.5,0.46709057812382104,0.6269522610307988,0.7202141957730991,0.6269522610307988
0,0,search,1,3,0.15,0.35,1,1,0.15,0.15,0,0.3807886552931954,0.19999999999999998,0.316227766016838,0.21168149983176776,0.0,0.3299292748570026,0.7883185001682322,0.8412388751261741,0.7883185001682322
